"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"05/11/2023","76,70","81,13","82,23","74,94","303,43K","-4,73%"
"29/10/2023","80,51","85,14","85,18","80,10","457,28K","-5,88%"
"22/10/2023","85,54","88,03","88,23","82,11","333,76K","-2,88%"
"15/10/2023","88,08","86,37","89,85","84,39","1,20M","0,44%"
"08/10/2023","87,69","85,00","87,83","82,31","425,40K","5,92%"
"01/10/2023","82,79","90,82","91,88","81,50","1,61M","-8,81%"
"24/09/2023","90,79","90,55","95,03","88,19","1,56M","0,84%"
"17/09/2023","90,03","91,20","93,74","88,37","600,88K","-0,82%"
"10/09/2023","90,77","87,40","91,23","86,71","1,30M","3,73%"
"03/09/2023","87,51","86,06","88,08","85,02","1,03M","2,29%"
"27/08/2023","85,55","80,15","86,06","79,34","1,20M","7,17%"
"20/08/2023","79,83","81,43","82,47","77,59","864,94K","-1,75%"
"13/08/2023","81,25","83,08","83,19","78,95","128,09K","-2,33%"
"06/08/2023","83,19","82,82","84,89","79,90","1,56M","0,45%"
"30/07/2023","82,82","80,65","83,24","78,69","1,42M","2,78%"
"23/07/2023","80,58","77,01","80,71","76,44","1,41M","4,55%"
"16/07/2023","77,07","75,02","77,29","73,84","486,51K","2,19%"
"09/07/2023","75,42","73,86","77,33","72,67","1,36M","2,11%"
"02/07/2023","73,86","70,46","73,92","69,70","362,63K","4,56%"
"25/06/2023","70,64","69,84","71,04","67,05","1,33M","2,14%"
"18/06/2023","69,16","71,45","72,72","67,35","714,75K","-3,65%"
"11/06/2023","71,78","70,27","71,89","66,80","1,19M","2,29%"
"04/06/2023","70,17","73,86","74,31","69,09","300,72K","-2,19%"
"28/05/2023","71,74","73,23","73,55","67,03","1,28M","-1,28%"
"21/05/2023","72,67","71,88","74,73","70,69","261,50K","1,57%"
"14/05/2023","71,55","70,04","73,40","69,41","845,91K","2,16%"
"07/05/2023","70,04","71,35","73,89","69,93","1,32M","-1,82%"
"30/04/2023","71,34","76,66","76,69","63,64","1,54M","-7,09%"
"23/04/2023","76,78","77,97","79,18","73,93","1,51M","-1,20%"
"16/04/2023","77,71","82,42","82,62","76,49","1,25M","-5,83%"
"09/04/2023","82,52","80,57","83,53","79,39","275,13K","2,26%"
"02/04/2023","80,70","80,10","81,81","79,00","1,41M","6,65%"
"26/03/2023","75,67","69,42","75,72","69,13","1,26M","9,25%"
"19/03/2023","69,26","66,92","71,66","64,38","380,85K","3,78%"
"12/03/2023","66,74","76,60","77,47","65,17","1,77M","-12,96%"
"05/03/2023","76,68","79,70","80,94","74,77","371,83K","-3,77%"
"26/02/2023","79,68","76,53","79,90","75,00","342,12K","4,20%"
"19/02/2023","76,47","76,64","77,74","74,05","600,34K","0,17%"
"12/02/2023","76,34","78,07","78,25","75,06","93,27K","-4,28%"
"05/02/2023","79,75","73,23","80,33","72,25","","8,95%"
"29/01/2023","73,20","79,98","80,49","73,11","","-7,82%"
"22/01/2023","79,41","81,80","82,62","79,06","","-2,73%"
"15/01/2023","81,64","80,34","82,66","78,45","915,27K","1,91%"
"08/01/2023","80,11","78,58","80,37","78,23","189,32K","8,71%"
"01/01/2023","73,69","80,57","81,50","72,47","","-8,43%"
"25/12/2022","80,47","79,92","81,17","76,81","","1,42%"
"18/12/2022","79,34","75,54","80,31","74,04","","6,57%"
"11/12/2022","74,45","71,78","77,76","70,25","","4,13%"
"04/12/2022","71,50","80,06","82,71","70,11","","-10,96%"
"27/11/2022","80,30","76,08","83,33","73,61","786,90K","5,27%"
"20/11/2022","76,28","80,30","82,36","75,08","937,19K","-4,75%"
"13/11/2022","80,08","89,02","89,84","77,24","1,11M","-9,98%"