"","Week","Average_Listeners"
"1","2018-10-14",10575647
"2","2018-10-21",11098085.5
"3","2018-10-28",11649362
"4","2018-11-04",12653643.5
"5","2018-11-11",14161960
"6","2018-11-18",17174857
"7","2018-11-25",21132840
"8","2018-12-02",27768503
"9","2018-12-09",32772390.5
"10","2018-12-16",36370335
"11","2018-12-23",44042937
"12","2018-12-30",43445181
"13","2019-01-06",40454396.5
"14","2019-01-13",35602743.5
"15","2019-01-20",25035545.5
"16","2019-01-27",11703861.5
"17","2019-02-03",10473711.6666667
"18","2019-02-10",10380303
"19","2019-02-17",10369515
"20","2019-02-24",10232947.5
"21","2019-03-03",10093367
"22","2019-03-10",10104708
"23","2019-03-17",9993148
"24","2019-03-24",10080296.5
"25","2019-03-31",10188736.5
"26","2019-04-07",10213132
"27","2019-04-14",10173958.5
"28","2019-04-21",10132855
"29","2019-04-28",10081532
"30","2019-05-05",10074330
"31","2019-05-12",10077460.5
"32","2019-05-19",10059443.5
"33","2019-05-26",10145206
"34","2019-06-02",10296893
"35","2019-06-09",10445390.5
"36","2019-06-16",10533633.5
"37","2019-06-23",10607338.5
"38","2019-06-30",10617423
"39","2019-07-07",10656742.5
"40","2019-07-14",10804716
"41","2019-07-21",11067665.5
"42","2019-07-28",11361040
"43","2019-08-04",11678157.5
"44","2019-08-11",11900215.5
"45","2019-08-18",12027041
"46","2019-08-25",12063534.6666667
"47","2019-09-01",12129834
"48","2019-09-08",12177384.5
"49","2019-09-15",12318757
"50","2019-09-22",12578441
"51","2019-09-29",12860116
"52","2019-10-06",13112225
"53","2019-10-13",13281336.5
"54","2019-10-20",13391859
"55","2019-10-27",13655340
"56","2019-11-03",14801980.5
"57","2019-11-10",16510988.5
"58","2019-11-17",18639775.5
"59","2019-11-24",22074351
"60","2019-12-01",27577890.5
"61","2019-12-08",33381297
"62","2019-12-15",38200065
"63","2019-12-22",46128393.5
"64","2019-12-29",48267937
"65","2020-01-05",44460144.5
"66","2020-01-12",39180700
"67","2020-01-19",23994421
"68","2020-01-26",13973580.5
"69","2020-02-02",13053119
"70","2020-02-09",12963588.5
"71","2020-02-16",13072357.5
"72","2020-02-23",13036046.3333333
"73","2020-03-01",12929816.5
"74","2020-03-08",12862461
"75","2020-03-15",12496156
"76","2020-03-22",12357668.5
"77","2020-03-29",12348582
"78","2020-04-05",12246140.5
"79","2020-04-12",12246189
"80","2020-04-19",12293568
"81","2020-04-26",12294520
"82","2020-05-03",12293707
"83","2020-05-10",12283826.5
"84","2020-05-17",12354258
"85","2020-05-24",12410945.5
"86","2020-05-31",12383048
"87","2020-06-07",12445790
"88","2020-06-14",12501539
"89","2020-06-21",12562462.5
"90","2020-06-28",12663022.5
"91","2020-07-05",12793687
"92","2020-07-12",12733733.5
"93","2020-07-19",12699212.5
"94","2020-07-26",12757924.5
"95","2020-08-02",12842974
"96","2020-08-09",12970591.5
"97","2020-08-16",13039338.5
"98","2020-08-23",13235018
"99","2020-08-30",13559758
"100","2020-09-06",13797833.5
"101","2020-09-13",14031182
"102","2020-09-20",14108639
"103","2020-09-27",14203704.5
"104","2020-10-04",14586923.5
"105","2020-10-11",15095891
"106","2020-10-18",15558335
"107","2020-10-25",15961167
"108","2020-11-01",16732294
"109","2020-11-08",18044740.5
"110","2020-11-15",20102056.5
"111","2020-11-22",24162736.5
"112","2020-11-29",30849802
"113","2020-12-06",39504547
"114","2020-12-13",45303524.5
"115","2020-12-20",50658647.5
"116","2020-12-27",60314160.5
"117","2021-01-03",56448266
"118","2021-01-10",49820385.5
"119","2021-01-17",42317208.5
"120","2021-01-24",17418927.5
"121","2021-01-31",14528490.5
"122","2021-02-07",14300302.5
"123","2021-02-14",14478616
"124","2021-02-21",14601742
"125","2021-02-28",14721465.5
"126","2021-03-07",14775004
"127","2021-03-14",14725286
"128","2021-03-21",14469313.5
"129","2021-03-28",14345576.5
"130","2021-04-04",14338782
"131","2021-04-11",14377521.5
"132","2021-04-18",14427847.5
"133","2021-04-25",14454635.5
"134","2021-05-02",14434556.5
"135","2021-05-09",14455324.5
"136","2021-05-16",14567440
"137","2021-05-23",14674509
"138","2021-05-30",14814528
"139","2021-06-06",14926154.5
"140","2021-06-13",15006876
"141","2021-06-20",15014711
"142","2021-06-27",15007515
"143","2021-07-04",14970930.5
"144","2021-07-11",14916624
"145","2021-07-18",14926548
"146","2021-07-25",14922786.5
"147","2021-08-01",14951913
"148","2021-08-08",15010687.5
"149","2021-08-15",15144651.5
"150","2021-08-22",15388138.5
"151","2021-08-29",15641129.5
"152","2021-09-05",15796082
"153","2021-09-12",15899513.5
"154","2021-09-19",15963225.5
"155","2021-09-26",16112700
"156","2021-10-03",16407211.5
"157","2021-10-10",16720638.5
"158","2021-10-17",17064520.5
"159","2021-10-24",17404823
"160","2021-10-31",18590430.5
"161","2021-11-07",20690873.5
"162","2021-11-14",23041928
"163","2021-11-21",26846283
"164","2021-11-28",32571776
"165","2021-12-05",38058995
"166","2021-12-12",45047688
"167","2021-12-19",51479729
"168","2021-12-26",61742991
"169","2022-01-02",60673296.5
"170","2022-01-09",54994758.5
"171","2022-01-16",48033660
"172","2022-01-23",24593644
"173","2022-01-30",16388562
"174","2022-02-06",15749176
"175","2022-02-13",15886149.5
"176","2022-02-20",16179474.5
"177","2022-02-27",16207716.5
"178","2022-03-06",16301767
"179","2022-03-13",16131138.5
"180","2022-03-20",15973324
"181","2022-03-27",16162752.5
"182","2022-04-03",16897718
"183","2022-04-10",17657870
"184","2022-04-17",18364224.5
"185","2022-04-24",18717622
"186","2022-05-01",18690102
"187","2022-05-08",18696191
"188","2022-05-15",18783690
"189","2022-05-22",18849435
"190","2022-05-29",18956254
"191","2022-06-05",18924680
"192","2022-06-12",18862463
"193","2022-06-19",18836317.5
"194","2022-06-26",18773271
"195","2022-07-03",18753959
"196","2022-07-10",18713779.5
"197","2022-07-17",18732199
"198","2022-07-24",18775154
"199","2022-07-31",18750179
"200","2022-08-07",18761657.5
"201","2022-08-14",18768972
"202","2022-08-21",18744090
"203","2022-08-28",18794848.5
"204","2022-09-04",18968872.5
"205","2022-09-11",18982466.5
"206","2022-09-18",19198409.5
"207","2022-09-25",19404517
"208","2022-10-02",19538569
"209","2022-10-09",19860686.5
"210","2022-10-16",20151870.5
"211","2022-10-23",20383191
"212","2022-10-30",21053476
"213","2022-11-06",23348584
"214","2022-11-13",26098427
"215","2022-11-20",30979557.5
"216","2022-11-27",39237594
"217","2022-12-04",46454416.5
"218","2022-12-11",54187994
"219","2022-12-18",59432911
"220","2022-12-25",73974251
"221","2023-01-01",71003068
"222","2023-01-08",64681897.5
"223","2023-01-15",54654120
"224","2023-01-22",25896762.5
"225","2023-01-29",21403523
"226","2023-02-05",21165917
"227","2023-02-12",22070482
"228","2023-02-19",23123480.5
"229","2023-02-26",24015128
"230","2023-03-05",24427540
"231","2023-03-12",24291712
"232","2023-03-19",23994347
"233","2023-03-26",23418901.5
"234","2023-04-02",23259078.5
"235","2023-04-09",23128360
"236","2023-04-16",23054005.5
"237","2023-04-23",23100282.5
"238","2023-04-30",23200950.5
"239","2023-05-07",23481472
"240","2023-05-14",23510397
"241","2023-05-21",23742261
"242","2023-05-28",23925663.5
"243","2023-06-04",24092544
"244","2023-06-11",24245289
"245","2023-06-18",24158895.5
"246","2023-06-25",24114314
"247","2023-07-02",24138464.5
"248","2023-07-09",24068478.5
"249","2023-07-16",23959340
"250","2023-07-23",24051215
"251","2023-07-30",24107357.5
"252","2023-08-06",24176131.5
"253","2023-08-13",24337973
"254","2023-08-20",24366866
"255","2023-08-27",24376082
"256","2023-09-03",24663135.3333333
"257","2023-09-10",25172603
"258","2023-09-17",25366036.5
"259","2023-09-24",25636335.5
"260","2023-10-01",25738607
"261","2023-10-08",25810198.5
